,0,1,2,3,4,5,6
69,7.41,7.18,7.92,0.0,0.0,1.0,0.0
70,4.56,4.36,6.18,1.0,0.0,0.0,0.0
71,4.59,5.86,6.0,0.0,0.0,0.0,1.0
72,9.59,9.31,9.46,0.0,1.0,0.0,0.0
73,6.78,6.29,5.81,0.0,0.0,1.0,0.0
74,6.7,7.86,8.29,1.0,0.0,0.0,0.0
75,6.67,7.0,7.54,0.0,0.0,1.0,0.0
76,7.63,7.93,8.75,0.0,0.0,0.0,1.0
77,4.3,6.43,6.75,0.0,0.0,0.0,1.0
78,5.89,6.54,7.81,0.0,0.0,0.0,1.0
79,6.07,5.36,6.21,0.0,0.0,0.0,1.0
80,6.67,7.0,7.54,0.0,0.0,0.0,1.0
81,6.81,7.0,6.92,0.0,0.0,1.0,0.0
82,6.81,8.54,8.0,0.0,0.0,0.0,1.0
83,8.34,9.04,9.19,0.0,0.0,0.0,1.0
84,6.19,8.29,8.54,0.0,0.0,0.0,1.0
85,7.33,7.46,8.5,0.0,0.0,1.0,0.0
86,6.48,6.5,7.39,0.0,0.0,0.0,1.0
87,6.19,6.68,6.96,0.0,0.0,1.0,0.0
88,6.33,6.79,6.89,0.0,0.0,0.0,1.0
89,5.3,5.43,4.77,0.0,0.0,1.0,0.0
90,7.81,8.32,8.68,0.0,0.0,1.0,0.0
91,7.78,8.64,8.71,0.0,0.0,0.0,1.0
92,6.63,6.71,7.54,0.0,0.0,1.0,0.0
93,6.41,5.93,6.18,0.0,0.0,1.0,0.0
94,6.37,6.64,6.64,0.0,0.0,0.0,1.0
95,6.89,7.32,8.5,0.0,0.0,1.0,0.0
96,4.93,5.64,6.75,0.0,0.0,0.0,1.0
97,3.96,5.43,6.25,0.0,0.0,0.0,1.0
98,7.07,7.29,7.61,0.0,0.0,0.0,1.0
99,7.26,7.68,8.57,0.0,0.0,1.0,0.0
100,7.26,7.82,8.36,0.0,0.0,0.0,1.0
101,5.56,6.86,7.0,0.0,0.0,0.0,1.0
102,6.96,7.0,7.54,0.0,0.0,1.0,0.0
103,6.33,6.5,6.75,0.0,0.0,1.0,0.0
104,6.07,5.36,5.12,0.0,0.0,1.0,0.0
105,7.96,8.46,8.62,0.0,0.0,1.0,0.0
106,7.07,7.64,8.61,0.0,0.0,1.0,0.0
107,6.96,7.71,8.0,0.0,1.0,0.0,0.0
108,6.41,6.93,7.0,0.0,0.0,0.0,1.0
109,8.0,8.46,8.89,0.0,0.0,1.0,0.0
110,6.07,6.14,7.0,1.0,0.0,0.0,0.0
111,5.67,6.07,7.39,0.0,0.0,0.0,1.0
112,5.78,6.0,6.61,0.0,0.0,0.0,1.0
113,7.15,7.14,7.68,0.0,0.0,1.0,0.0
114,6.41,6.68,7.08,0.0,0.0,1.0,0.0
115,6.85,7.96,8.14,0.0,0.0,0.0,1.0
116,6.26,6.33,6.81,0.0,0.0,1.0,0.0
117,7.11,7.32,7.35,0.0,0.0,1.0,0.0
118,4.96,7.0,4.0,0.0,0.0,1.0,0.0
119,7.7,8.07,8.68,1.0,0.0,0.0,0.0
120,7.56,8.11,8.07,0.0,0.0,0.0,1.0
121,7.3,8.11,9.14,0.0,0.0,1.0,0.0
122,5.89,5.71,6.5,0.0,0.0,1.0,0.0
123,5.89,6.07,4.54,0.0,0.0,1.0,0.0
124,7.26,7.29,7.61,0.0,0.0,1.0,0.0
125,5.89,6.36,5.61,0.0,0.0,1.0,0.0
126,7.81,8.04,8.93,0.0,1.0,0.0,0.0
127,6.93,6.86,8.04,0.0,0.0,1.0,0.0
128,7.15,7.04,7.81,0.0,0.0,1.0,0.0
129,6.07,7.11,7.79,0.0,0.0,0.0,1.0
130,7.59,7.89,8.14,0.0,0.0,0.0,1.0
131,7.3,8.04,8.15,0.0,0.0,1.0,0.0
132,5.19,5.46,7.54,0.0,0.0,1.0,0.0
133,4.15,4.29,4.96,0.0,0.0,0.0,1.0
134,6.26,7.61,7.29,0.0,0.0,1.0,0.0
135,7.59,8.25,9.35,0.0,0.0,1.0,0.0
136,5.63,6.21,6.39,0.0,0.0,0.0,1.0
137,6.33,5.57,5.35,0.0,0.0,1.0,0.0
138,6.52,8.36,7.89,0.0,1.0,0.0,0.0
139,4.7,5.5,6.21,0.0,0.0,0.0,1.0
140,6.63,7.04,7.79,0.0,0.0,0.0,1.0
141,6.48,6.86,8.25,0.0,0.0,1.0,0.0
142,6.0,6.39,6.43,0.0,0.0,1.0,0.0
143,6.56,6.68,6.54,0.0,0.0,0.0,1.0
144,6.52,5.39,7.0,0.0,0.0,1.0,0.0
145,6.11,5.79,6.25,0.0,0.0,0.0,1.0
146,6.33,7.0,7.29,0.0,0.0,1.0,0.0
147,5.22,5.61,6.18,0.0,0.0,0.0,1.0
148,6.19,6.68,6.86,0.0,0.0,0.0,1.0
149,5.7,5.46,6.93,0.0,0.0,0.0,1.0
150,6.07,5.82,5.86,0.0,1.0,0.0,0.0
