,0,1,2,3,4,5,6
0,6.96,6.89,8.64,0.0,0.0,1.0,0.0
1,6.63,6.71,6.96,0.0,0.0,1.0,0.0
2,7.67,8.71,9.39,0.0,0.0,1.0,0.0
3,6.48,7.29,7.61,0.0,0.0,0.0,1.0
4,7.04,7.93,8.32,0.0,0.0,0.0,1.0
5,7.22,7.86,7.31,1.0,0.0,0.0,0.0
6,7.3,9.25,8.5,0.0,1.0,0.0,0.0
7,5.48,5.93,6.75,0.0,0.0,0.0,1.0
8,7.44,7.86,8.21,0.0,0.0,0.0,1.0
9,6.93,7.64,8.65,0.0,0.0,1.0,0.0
10,7.0,8.32,8.21,0.0,1.0,0.0,0.0
11,5.22,5.36,6.61,0.0,0.0,0.0,1.0
12,6.7,7.36,7.38,0.0,0.0,1.0,0.0
13,7.3,8.64,8.21,0.0,0.0,0.0,1.0
14,5.7,6.29,8.07,0.0,0.0,0.0,1.0
15,6.33,6.5,6.25,1.0,0.0,0.0,0.0
16,7.04,7.43,8.36,1.0,0.0,0.0,0.0
17,7.74,8.46,8.38,1.0,0.0,0.0,0.0
18,7.52,8.25,7.75,0.0,1.0,0.0,0.0
19,4.22,4.75,4.96,0.0,0.0,0.0,1.0
20,6.67,6.0,6.11,0.0,0.0,0.0,1.0
21,7.48,7.93,7.77,0.0,0.0,1.0,0.0
22,7.26,7.71,8.39,0.0,0.0,1.0,0.0
23,6.52,4.93,6.43,0.0,0.0,1.0,0.0
24,6.78,7.54,7.39,0.0,0.0,1.0,0.0
25,5.96,6.75,6.89,0.0,0.0,0.0,1.0
26,6.15,5.04,5.08,0.0,0.0,1.0,0.0
27,7.0,7.32,8.32,0.0,0.0,0.0,1.0
28,4.33,6.96,6.75,0.0,0.0,0.0,1.0
29,6.07,5.86,6.86,0.0,0.0,1.0,0.0
30,7.04,7.82,8.39,0.0,1.0,0.0,0.0
31,6.11,6.11,6.54,0.0,1.0,0.0,0.0
32,7.78,8.21,8.21,0.0,0.0,0.0,1.0
33,7.67,8.21,8.38,0.0,0.0,1.0,0.0
34,6.59,6.36,6.79,0.0,0.0,0.0,1.0
35,7.63,6.14,8.39,0.0,0.0,1.0,0.0
36,6.74,7.04,7.04,0.0,0.0,1.0,0.0
37,5.81,6.04,6.39,0.0,0.0,0.0,1.0
38,6.89,6.86,7.64,0.0,0.0,0.0,1.0
39,8.37,9.04,9.0,0.0,0.0,0.0,1.0
40,6.75,6.78,6.62,0.0,0.0,1.0,0.0
41,7.22,7.32,7.46,0.0,0.0,0.0,1.0
42,7.22,8.32,8.82,0.0,0.0,0.0,1.0
43,6.48,7.18,7.82,0.0,0.0,0.0,1.0
44,7.22,7.25,7.08,0.0,0.0,1.0,0.0
45,7.93,8.11,8.04,0.0,0.0,1.0,0.0
46,7.52,7.64,8.11,0.0,0.0,0.0,1.0
47,5.7,5.18,5.31,0.0,0.0,1.0,0.0
48,7.96,8.0,8.29,0.0,1.0,0.0,0.0
49,7.11,7.43,8.18,0.0,1.0,0.0,0.0
50,6.85,7.21,7.71,0.0,0.0,0.0,1.0
51,5.81,6.04,6.64,0.0,0.0,0.0,1.0
52,6.22,6.57,7.0,0.0,0.0,1.0,0.0
53,7.04,7.07,6.93,0.0,0.0,0.0,1.0
54,8.17,8.73,8.73,0.0,0.0,0.0,1.0
55,7.26,7.89,7.86,0.0,0.0,0.0,1.0
56,4.15,4.93,4.86,0.0,0.0,0.0,1.0
57,6.3,6.54,7.43,0.0,0.0,0.0,1.0
58,7.15,8.43,8.36,0.0,1.0,0.0,0.0
59,5.93,6.79,7.54,0.0,0.0,0.0,1.0
60,6.37,6.57,7.79,0.0,0.0,0.0,1.0
61,5.15,5.54,6.04,0.0,0.0,1.0,0.0
62,5.48,5.89,5.79,1.0,0.0,0.0,0.0
63,6.33,6.29,7.96,0.0,0.0,1.0,0.0
64,7.48,8.68,8.89,0.0,0.0,0.0,1.0
65,7.41,7.86,8.14,0.0,0.0,0.0,1.0
66,6.52,5.93,7.5,0.0,0.0,1.0,0.0
67,7.33,7.47,8.07,0.0,0.0,0.0,1.0
68,7.67,7.39,8.65,1.0,0.0,0.0,0.0
