iter	Passed	Remaining
667	849	422
668	850	420
669	851	419
670	852	418
671	854	416
672	856	415
673	857	414
674	858	413
675	860	412
676	861	410
677	862	409
678	863	408
679	865	407
680	866	405
681	867	404
682	868	403
683	870	402
684	872	401
685	873	399
686	874	398
687	875	397
688	876	395
689	878	394
690	879	393
691	880	391
692	881	390
693	883	389
694	885	388
695	886	387
696	887	385
697	889	384
698	890	383
699	891	382
700	892	380
701	893	379
702	895	378
703	896	376
704	897	375
705	900	374
706	901	373
707	902	372
708	904	371
709	905	369
710	906	368
711	907	367
712	908	365
713	909	364
714	910	363
715	912	361
716	915	361
717	916	359
718	917	358
719	918	357
720	919	355
721	920	354
722	922	353
723	923	351
724	924	350
725	925	349
726	926	347
727	927	346
728	928	345
729	930	344
730	931	342
731	932	341
732	933	340
733	934	338
734	936	337
735	937	336
736	938	334
737	939	333
738	940	332
739	942	331
740	943	329
741	945	328
742	946	327
743	947	326
744	948	324
745	949	323
746	951	322
747	952	320
748	953	319
749	954	318
750	955	316
751	956	315
752	957	314
753	959	312
754	960	311
755	961	310
756	962	309
757	964	307
758	965	306
759	966	305
760	967	303
761	968	302
762	969	301
763	970	299
764	971	298
765	972	297
766	974	296
767	975	294
768	976	293
769	977	292
770	979	290
771	980	289
772	981	288
773	982	286
774	983	285
775	984	284
776	985	282
777	986	281
778	987	280
779	989	279
780	990	277
781	991	276
782	992	275
783	994	273
784	995	272
785	996	271
786	997	269
787	998	268
788	999	267
789	1000	266
790	1001	264
791	1003	263
792	1004	262
793	1005	260
794	1006	259
795	1008	258
796	1009	257
797	1010	255
798	1011	254
799	1012	253
800	1013	251
801	1014	250
802	1015	249
803	1016	247
804	1018	246
805	1019	245
806	1020	244
807	1021	242
808	1023	241
809	1024	240
810	1025	238
811	1026	237
812	1027	236
813	1028	235
814	1029	233
815	1030	232
816	1031	231
817	1033	229
818	1034	228
819	1037	227
820	1038	226
821	1040	225
822	1041	223
823	1042	222
824	1043	221
825	1044	220
826	1045	218
827	1046	217
828	1048	216
829	1049	215
830	1050	213
831	1052	212
832	1053	211
833	1054	209
834	1055	208
835	1056	207
836	1057	205
837	1058	204
838	1059	203
839	1061	202
840	1062	200
841	1063	199
842	1065	198
843	1066	197
844	1067	195
845	1068	194
846	1069	193
847	1070	191
848	1071	190
849	1072	189
850	1074	188
851	1075	186
852	1076	185
853	1077	184
854	1079	182
855	1080	181
856	1082	180
857	1083	179
858	1084	178
859	1086	176
860	1087	175
861	1088	174
862	1089	172
863	1090	171
864	1092	170
865	1093	169
866	1094	167
867	1095	166
868	1097	165
869	1098	164
870	1099	162
871	1100	161
872	1101	160
873	1102	158
874	1103	157
875	1104	156
876	1106	155
877	1107	153
878	1108	152
879	1109	151
880	1110	150
881	1111	148
882	1112	147
883	1114	146
884	1115	144
885	1116	143
886	1117	142
887	1118	141
888	1119	139
889	1120	138
890	1122	137
891	1123	136
892	1124	134
893	1126	133
894	1127	132
895	1128	130
896	1129	129
897	1130	128
898	1131	127
899	1132	125
900	1133	124
901	1134	123
902	1136	122
903	1137	120
904	1138	119
905	1140	118
906	1141	117
907	1142	115
908	1143	114
909	1144	113
910	1145	111
911	1146	110
912	1147	109
913	1149	108
914	1150	106
915	1151	105
916	1152	104
917	1154	103
918	1155	101
919	1156	100
920	1156	99
921	1157	97
922	1159	96
923	1160	95
924	1161	94
925	1162	92
926	1163	91
927	1164	90
928	1166	89
929	1167	87
930	1168	86
931	1170	85
932	1171	84
933	1172	82
934	1173	81
935	1174	80
936	1175	79
937	1176	77
938	1177	76
939	1178	75
940	1180	73
941	1181	72
942	1182	71
943	1183	70
944	1184	68
945	1186	67
946	1187	66
947	1188	65
948	1189	63
949	1190	62
950	1191	61
951	1193	60
952	1194	58
953	1195	57
954	1197	56
955	1198	55
956	1199	53
957	1200	52
958	1201	51
959	1202	50
960	1203	48
961	1205	47
962	1206	46
963	1208	45
964	1209	43
965	1211	42
966	1212	41
967	1214	40
968	1215	38
969	1216	37
970	1217	36
971	1218	35
972	1219	33
973	1220	32
974	1221	31
975	1223	30
976	1224	28
977	1225	27
978	1226	26
979	1228	25
980	1229	23
981	1230	22
982	1231	21
983	1232	20
984	1233	18
985	1234	17
986	1235	16
987	1237	15
988	1238	13
989	1239	12
990	1240	11
991	1242	10
992	1243	8
993	1244	7
994	1245	6
995	1247	5
996	1276	3
997	1278	2
998	1280	1
999	1282	0
