iter	RMSE
176	0.3065182266
177	0.3057776684
178	0.3051482202
179	0.3044558941
180	0.3040420426
181	0.3031993979
182	0.302363055
183	0.3021152596
184	0.3016604491
185	0.3011578045
186	0.300936016
187	0.3005145275
188	0.3002492732
189	0.2996263344
190	0.2989133516
191	0.2980404709
192	0.2976027049
193	0.2971934672
194	0.2969044754
195	0.2963510081
196	0.2960914767
197	0.2956673972
198	0.2948685358
199	0.294389879
200	0.2936885484
201	0.2930929254
202	0.2925204056
203	0.2921511215
204	0.2914767313
205	0.2906240384
206	0.2902760266
207	0.2897055825
208	0.2894202869
209	0.2889435201
210	0.2884232989
211	0.2880511803
212	0.2878027047
213	0.2871313456
214	0.2868414691
215	0.2865813497
216	0.2854956964
217	0.2851908977
218	0.2849433234
219	0.2846060092
220	0.284063314
221	0.2833290006
222	0.2829006957
223	0.2824455165
224	0.2814513261
225	0.2809233981
226	0.2801341752
227	0.2797014689
228	0.2790970989
229	0.2787564425
230	0.278101225
231	0.2774479657
232	0.277051765
233	0.2761323956
234	0.2754022054
235	0.2747712819
236	0.2743085332
237	0.2739227416
238	0.2737041716
239	0.2732541227
240	0.2728195528
241	0.2724290567
242	0.2721190329
243	0.2715851322
244	0.2710016829
245	0.2702208939
246	0.2698273013
247	0.2691719358
248	0.2689164333
249	0.2687250006
250	0.2682633169
251	0.2678491701
252	0.2672668902
253	0.266838899
254	0.2659098797
255	0.2656001886
256	0.2652728927
257	0.2647344693
258	0.2639413048
259	0.2635798217
260	0.2633450409
261	0.2625917745
262	0.2621868925
263	0.261313679
264	0.2609731592
265	0.26065633
266	0.2597992725
267	0.2589465167
268	0.2586118552
269	0.2582764144
270	0.2578898683
271	0.2572618748
272	0.2566326441
273	0.2558081427
274	0.255191533
275	0.2548664218
276	0.2543035753
277	0.253953129
278	0.2532655623
279	0.2529129349
280	0.2525966098
281	0.2516921735
282	0.2509196321
283	0.2507375689
284	0.2501842849
285	0.2497618941
286	0.2493759737
287	0.2490228848
288	0.2483077272
289	0.2472448953
290	0.2464980935
291	0.2459231389
292	0.2452323708
293	0.2449598134
294	0.2446874406
295	0.2443998615
296	0.2441338347
297	0.2433500909
298	0.2428857235
299	0.2423848122
300	0.2419425232
301	0.2416415045
302	0.2414509377
303	0.2406004203
304	0.2400261328
305	0.2397561353
306	0.2395675005
307	0.2393935995
308	0.239117792
309	0.2382729002
310	0.2379103603
311	0.2376348884
312	0.2368218005
313	0.2366215101
314	0.2360376216
315	0.2357147896
316	0.2354601482
317	0.2346625682
318	0.2342822296
319	0.2337455556
320	0.2333568365
321	0.2327357897
322	0.2320283975
323	0.2313529781
324	0.231017259
325	0.230754425
326	0.2301547149
327	0.2295392102
328	0.2291662486
329	0.2284320917
330	0.2276069352
331	0.2272425219
332	0.2270848214
333	0.2265259066
334	0.226246473
335	0.2260004333
336	0.2254522074
337	0.225131364
338	0.224823155
339	0.22464267
340	0.2239299138
341	0.2237675598
342	0.2235272615
343	0.2233080028
344	0.2230501204
345	0.2228784594
346	0.2220990743
347	0.2218473432
348	0.221697046
349	0.2210608513
350	0.2206673352
351	0.2199752833
352	0.2198091894
353	0.2191017754
354	0.2187630505
355	0.2186893606
356	0.2180693744
357	0.2177669438
358	0.2171697438
359	0.2170352708
360	0.2163892953
361	0.2161024882
362	0.2154994472
363	0.2148942867
364	0.2142716863
365	0.2140457707
366	0.2133870266
367	0.212853607
368	0.2125768714
369	0.2121213651
370	0.2118788397
371	0.2114192771
372	0.2109627921
373	0.2103221414
374	0.2101884099
375	0.2096043777
376	0.2093466064
377	0.2087060244
378	0.2081542433
379	0.2075780661
380	0.2073512913
381	0.2067923997
382	0.2062729778
383	0.2055254391
384	0.2052475699
385	0.204885577
386	0.2045549837
387	0.2043998866
388	0.2042459531
389	0.2037220877
390	0.2035197157
391	0.2030061876
392	0.2023917329
393	0.2017575186
394	0.2015478807
395	0.2010470932
396	0.2008015782
397	0.2003275201
398	0.1998522445
399	0.1996957278
400	0.1991516604
401	0.1986340429
402	0.1983800436
403	0.1979179098
404	0.197473116
405	0.1973042288
406	0.1971619814
407	0.1966328244
408	0.1965194132
409	0.1961581977
410	0.1955547822
411	0.1951695063
412	0.1945753786
413	0.194219988
414	0.1937877292
415	0.1935744349
416	0.1933159913
417	0.1931033721
418	0.1926092085
419	0.1919773637
420	0.1913587322
421	0.1907591355
422	0.1900737008
423	0.1893813236
424	0.188877867
425	0.1883676649
426	0.1882506709
427	0.1876737338
428	0.1871209155
429	0.1870379228
430	0.1868712575
431	0.186656638
432	0.1860713661
433	0.1855161918
434	0.1849128829
435	0.1844410463
436	0.1839528204
437	0.1835175133
438	0.1830757748
439	0.1828454964
440	0.1827140935
441	0.1824138084
442	0.1820076175
443	0.1817089697
444	0.1814927392
445	0.180939834
446	0.1807625355
447	0.1802882442
448	0.1800822464
449	0.1796929211
450	0.1791495395
451	0.1790289309
452	0.17851582
453	0.1780424642
454	0.177567428
455	0.1772577907
456	0.1770363796
457	0.1768572126
458	0.1766156378
459	0.1763236875
460	0.1761907315
461	0.1757563253
462	0.1751076666
463	0.174547552
464	0.1742203718
465	0.1737778447
466	0.1735966433
467	0.1734945472
468	0.1730025212
469	0.1725900244
470	0.1720900613
471	0.171648887
472	0.1713712886
473	0.1707654744
474	0.1702481663
475	0.1699409347
476	0.169722573
477	0.1695287901
478	0.1690062478
479	0.1687882031
480	0.1682737228
481	0.1678621941
482	0.1675774864
483	0.167378415
484	0.1671021707
485	0.1666376134
486	0.1665418782
487	0.166090371
488	0.1656828426
489	0.165501563
490	0.164987999
491	0.164690941
492	0.1642007953
493	0.1638176929
494	0.1636964629
495	0.1632186134
496	0.1628040142
497	0.1625010644
498	0.1621283692
499	0.1616829786
500	0.1612160533
501	0.1610462176
502	0.1606107211
503	0.1603313981
504	0.1598822452
505	0.1596767928
506	0.1592263282
507	0.1589840614
508	0.1588153477
509	0.158306201
510	0.158105719
511	0.1576742127
512	0.1575121263
513	0.1571978902
514	0.1568943824
515	0.1563637616
516	0.1562656449
517	0.155836193
518	0.1557146016
519	0.1552487034
520	0.1551622099
521	0.1549593789
522	0.1548896825
523	0.1545640796
524	0.154178946
525	0.154015348
526	0.1536330658
527	0.153458038
528	0.1533035814
529	0.152898605
530	0.1525979106
531	0.1522547204
532	0.1516206849
533	0.1512418864
534	0.1508843823
535	0.1507155797
536	0.1502830546
537	0.1500708621
538	0.1497178371
539	0.1495225193
540	0.1493454099
541	0.1488833658
542	0.1486267959
543	0.1483321002
544	0.1481581414
545	0.1479932833
546	0.1476960161
547	0.1473635535
548	0.1472000629
549	0.1470297249
550	0.1467380425
551	0.1465050112
552	0.1462348361
553	0.1457412729
554	0.145648891
555	0.1454947489
556	0.1450856643
557	0.1447381006
558	0.1444319616
559	0.1441083579
560	0.1439775926
561	0.1436882975
562	0.1433419682
563	0.143221789
564	0.1427716527
565	0.1426385931
566	0.1423066569
567	0.142182243
568	0.1416856453
569	0.1413367592
570	0.1409371269
571	0.140632441
572	0.1404856588
573	0.1402026687
574	0.139828931
575	0.139639652
576	0.1392110692
577	0.1387903252
578	0.1385624338
579	0.1382308378
580	0.1379779169
581	0.1376895863
582	0.1374685156
583	0.1370683516
584	0.136622273
585	0.136129932
586	0.1358041206
587	0.1354239704
588	0.1352672498
589	0.1351167577
590	0.1348921447
591	0.1347012835
592	0.1344726955
593	0.1340794494
594	0.1339659739
595	0.1336307388
596	0.1332503007
597	0.1329709072
598	0.1325836313
599	0.1322702949
600	0.1320521631
601	0.1316983641
602	0.1314199562
603	0.1313263463
604	0.1310168145
605	0.130873078
606	0.1307498884
607	0.1306095826
608	0.1302449047
609	0.129960579
610	0.1296670804
611	0.1295751381
612	0.1294648899
613	0.1292706867
614	0.1291056001
615	0.128926071
616	0.128555062
617	0.1281840152
618	0.1278867968
619	0.1278167213
620	0.1276712733
621	0.1274274522
622	0.1269683013
623	0.1267144581
624	0.1265070186
625	0.1264090133
626	0.1261663702
627	0.1260292679
628	0.1258730041
629	0.125674943
630	0.1252774586
631	0.12502363
632	0.1246092081
633	0.1244944981
634	0.1242269369
635	0.1241470835
636	0.1238234947
637	0.1235341871
638	0.1234184718
639	0.1232195687
640	0.1228535021
641	0.1225070713
642	0.1222082267
643	0.1219993978
644	0.1215322695
645	0.121326796
646	0.1210475322
647	0.1207097919
648	0.1206130762
649	0.1204169479
650	0.1200414858
651	0.1199486373
652	0.1196130928
653	0.1192031234
654	0.1189656773
655	0.1187312689
656	0.1185073597
657	0.1181675073
658	0.1180344516
659	0.1178040302
660	0.1177144923
661	0.1176584439
662	0.1174801916
663	0.1172682735
664	0.1169914781
665	0.1167319334
666	0.1166189522
667	0.1163670821
668	0.1160847134
669	0.1158652711
670	0.1155677803
671	0.1152161204
672	0.1149989556
673	0.1148372033
674	0.1146941407
675	0.1145187009
676	0.1143598923
677	0.1139784944
678	0.1137508721
679	0.1135422623
680	0.1132567204
681	0.1130240158
682	0.1126904062
683	0.1123942867
684	0.1120657822
685	0.1118529131
686	0.1117248994
687	0.1114007617
688	0.1110216269
689	0.1108448965
690	0.1107628503
691	0.1103938487
692	0.1101956514
693	0.1100145359
694	0.1097406769
695	0.1096256278
696	0.1093771897
697	0.1092298194
698	0.1091415904
699	0.1090485225
700	0.1088641255
701	0.1087828555
702	0.1085891834
703	0.108516064
704	0.1082466486
705	0.1080268362
706	0.1077579195
707	0.1076893522
708	0.1074537076
709	0.1073416072
710	0.107070469
711	0.1067952018
712	0.106548446
713	0.106371057
714	0.1061101756
715	0.1058988093
716	0.1056792271
717	0.1054130344
718	0.1051380678
719	0.1049633403
720	0.1046165139
721	0.1043641467
722	0.1042501405
723	0.103911914
724	0.1036661052
725	0.1034645873
726	0.1033478559
727	0.1031895602
728	0.1028892637
729	0.1026232534
730	0.1023678117
731	0.102168329
732	0.1020203629
733	0.1017669846
734	0.1014961016
735	0.1012173902
736	0.10098126
737	0.1009244471
738	0.1006706819
739	0.1005525829
740	0.1003628887
741	0.1000982993
742	0.09992153549
743	0.09969872709
744	0.09956831773
745	0.09948568152
746	0.09943037795
747	0.09932364649
748	0.09910237611
749	0.09882591005
750	0.09857877217
751	0.09844470493
752	0.09822497657
753	0.09819539199
754	0.09798428298
755	0.09781485095
756	0.09774036456
757	0.097603888
758	0.09741118704
759	0.09717266956
760	0.09704835063
761	0.09693205403
762	0.09678482034
763	0.09665757707
764	0.09648740565
765	0.09633500666
766	0.0962217308
767	0.09594759264
768	0.09572596569
769	0.09545320264
770	0.09521437403
771	0.09493285931
772	0.0946301553
773	0.09457609893
774	0.09445302359
775	0.09441100712
776	0.09429866136
777	0.09406692662
778	0.09380226186
779	0.09367163275
780	0.09346991338
781	0.09321019623
782	0.0930533194
783	0.09284552981
784	0.09265315037
785	0.09255327381
786	0.09236548131
787	0.09232226974
788	0.09224269685
789	0.09202539261
790	0.09181102031
791	0.09170478461
792	0.09165873018
793	0.091574993
794	0.09149851767
795	0.09122274818
796	0.09115227329
797	0.09103291815
798	0.09076936353
799	0.09055867366
800	0.09035478447
801	0.09004594252
802	0.0899788469
803	0.08971713214
804	0.08965426318
805	0.08940314327
806	0.08910755611
807	0.08896831596
808	0.08877752748
809	0.08851461563
810	0.0882262692
811	0.08795235574
812	0.08783909952
813	0.08766642619
814	0.08756718631
815	0.08737695812
816	0.08714870426
817	0.08705289193
818	0.08687299949
819	0.08661783798
820	0.08646017883
821	0.08637963702
822	0.08614384604
823	0.086025796
824	0.08592965182
825	0.08578226261
826	0.08567970589
827	0.08561358486
828	0.08536576356
829	0.08512587128
830	0.08502922165
831	0.08494671939
832	0.08485850375
833	0.08479171706
834	0.08459681116
835	0.08436097028
836	0.08425593114
837	0.08417666407
838	0.08403159576
839	0.0838193432
840	0.08364860769
841	0.08352540115
842	0.08339067232
843	0.08324774176
844	0.08309342146
845	0.08288099109
846	0.08269482782
847	0.08251447287
848	0.08244691048
849	0.08236492468
850	0.08230133865
851	0.08214549546
852	0.08196278621
853	0.08184850975
854	0.08169213455
855	0.08143528875
856	0.08131621811
857	0.08116573737
858	0.08102344132
859	0.0809440211
860	0.08088893463
861	0.08070579808
862	0.08044328803
863	0.08012483606
864	0.08007046727
865	0.07992403603
866	0.07967094143
867	0.07960842758
868	0.07940051161
869	0.07922839798
870	0.07906541841
871	0.07897509465
872	0.07883097754
873	0.07856149202
874	0.07853729591
875	0.0783745213
876	0.07828867278
877	0.07823248956
878	0.07821824209
879	0.07811910787
880	0.07796820466
881	0.07773628401
882	0.07760365888
883	0.07745603418
884	0.07735836348
885	0.07725680444
886	0.0770035139
887	0.07694000177
888	0.07684937445
889	0.07669238285
890	0.07664336094
891	0.07659077609
892	0.07645313809
893	0.07639897155
894	0.07632798362
895	0.0760526432
896	0.07585972965
897	0.07581329637
898	0.075646383
899	0.07548051315
900	0.07535491231
901	0.07520943644
902	0.07505044046
903	0.07497050234
904	0.07478132324
905	0.07460798399
906	0.07452971441
907	0.07441878966
908	0.07435960124
909	0.07414454462
910	0.07406362037
911	0.07398810404
912	0.07378788722
913	0.07366183498
914	0.07363953002
915	0.07346776691
916	0.07339818255
917	0.07333451419
918	0.07307204736
919	0.07301194439
920	0.07299918262
921	0.07294272826
922	0.07275209399
923	0.07263979876
924	0.07244117918
925	0.07238371249
926	0.07218991677
927	0.07201681404
928	0.07194867532
929	0.07182842636
930	0.0716731031
931	0.07162089689
932	0.07156362153
933	0.07149083699
934	0.07133464249
935	0.07106478771
936	0.07102074307
937	0.07093902863
938	0.07087518373
939	0.0708126791
940	0.0707654435
941	0.07072497589
942	0.07065691242
943	0.07048232243
944	0.07032418608
945	0.07026269774
946	0.07017885626
947	0.07002115664
948	0.06988896371
949	0.06973997536
950	0.06970530719
951	0.06957863117
952	0.06941519736
953	0.069286328
954	0.06906475059
955	0.06901862158
956	0.06899984157
957	0.06883508114
958	0.06869243216
959	0.06852395208
960	0.06828987731
961	0.06817955827
962	0.068016755
963	0.06797129442
964	0.06780794781
965	0.06768345137
966	0.06754607164
967	0.06740291133
968	0.06728297425
969	0.06709115228
970	0.06702197616
971	0.06685511624
972	0.06670194522
973	0.06659617805
974	0.06642398191
975	0.06626684989
976	0.06606409913
977	0.06590241048
978	0.06569948563
979	0.06565940969
980	0.06560344594
981	0.06553719873
982	0.06544269973
983	0.0652831472
984	0.06522801184
985	0.06509672653
986	0.06501867136
987	0.06490895435
988	0.06477049164
989	0.0647237284
990	0.06455229136
991	0.06436356901
992	0.06430827346
993	0.06424831816
994	0.06418072959
995	0.06403756307
996	0.06399307309
997	0.06381169483
998	0.06364692118
999	0.06360819059
